sumstatName	fullName	fieldID	biomarker_id	prettyName	subgroup
3_Hydroxybutyrate	3-Hydroxybutyrate	23474	bohbut	3-Hydroxybutyrate	Ketone bodies
Acetate	Acetate	23475	ace	Acetate	Ketone bodies
Acetoacetate	Acetoacetate	23476	acace	Acetoacetate	Ketone bodies
Acetone	Acetone	23477	acetone	Acetone	Ketone bodies
Alanine	Alanine	23460	ala	Alanine	Amino acids
Albumin	Albumin	23479	alb	Albumin	Fluid balance
Apolipoprotein_A1	Apolipoprotein A1	23440	apoa1	ApoA1	Apolipoproteins
Apolipoprotein_B	Apolipoprotein B	23439	apob	ApoB	Apolipoproteins
Apolipoprotein_B_to_Apolipoprotein_A1_ratio	Apolipoprotein B to Apolipoprotein A1 ratio	23441	apobbyapoa1	ApoB/ApoA1	Apolipoproteins
Average_Diameter_for_HDL_Particles	Average Diameter for HDL Particles	23433	hdld	HDL particle size	Lipoprotein particle sizes
Average_Diameter_for_LDL_Particles	Average Diameter for LDL Particles	23432	pureldld	LDL particle size	Lipoprotein particle sizes
Average_Diameter_for_VLDL_Particles	Average Diameter for VLDL Particles	23431	vldld	VLDL particle size	Lipoprotein particle sizes
Cholesterol_in_Chylomicrons_and_Extremely_Large_VLDL	Cholesterol in Chylomicrons and Extremely Large VLDL	23484	xxlvldlc	XXL-VLDL-C	Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards)
Cholesterol_in_IDL	Cholesterol in IDL	23526	idlc	IDL-C	IDL (average diameter 28.6 nm)
Cholesterol_in_Large_HDL	Cholesterol in Large HDL	23561	lhdlc	L-HDL-C	Large HDL (average diameter 12.1 nm)
Cholesterol_in_Large_LDL	Cholesterol in Large LDL	23533	lldlc	L-LDL-C	Large LDL (average diameter 25.5 nm)
Cholesterol_in_Large_VLDL	Cholesterol in Large VLDL	23498	lvldlc	L-VLDL-C	Large VLDL (average diameter 53.6 nm)
Cholesterol_in_Medium_HDL	Cholesterol in Medium HDL	23568	mhdlc	M-HDL-C	Medium HDL (average diameter 10.9 nm)
Cholesterol_in_Medium_LDL	Cholesterol in Medium LDL	23540	mldlc	M-LDL-C	Medium LDL (average diameter 23 nm)
Cholesterol_in_Medium_VLDL	Cholesterol in Medium VLDL	23505	mvldlc	M-VLDL-C	Medium VLDL (average diameter 44.5 nm)
Cholesterol_in_Small_HDL	Cholesterol in Small HDL	23575	shdlc	S-HDL-C	Small HDL (average diameter 8.7 nm)
Cholesterol_in_Small_LDL	Cholesterol in Small LDL	23547	sldlc	S-LDL-C	Small LDL (average diameter 18.7 nm)
Cholesterol_in_Small_VLDL	Cholesterol in Small VLDL	23512	svldlc	S-VLDL-C	Small VLDL (average diameter 36.8 nm)
Cholesterol_in_Very_Large_HDL	Cholesterol in Very Large HDL	23554	xlhdlc	XL-HDL-C	Very large HDL (average diameter 14.3 nm)
Cholesterol_in_Very_Large_VLDL	Cholesterol in Very Large VLDL	23491	xlvldlc	XL-VLDL-C	Very large VLDL (average diameter 64 nm)
Cholesterol_in_Very_Small_VLDL	Cholesterol in Very Small VLDL	23519	xsvldlc	XS-VLDL-C	Very small VLDL (average diameter 31.3 nm)
Cholesterol_to_Total_Lipids_in_Chylomicrons_and_Extremely_Large_VLDL_percentage	Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	23580	xxlvldlcpct	XXL-VLDL-C %	Chylomicrons and extremely large VLDL ratios
Cholesterol_to_Total_Lipids_in_IDL_percentage	Cholesterol to Total Lipids in IDL percentage	23610	idlcpct	IDL-C %	IDL ratios
Cholesterol_to_Total_Lipids_in_Large_HDL_percentage	Cholesterol to Total Lipids in Large HDL percentage	23635	lhdlcpct	L-HDL-C %	Large HDL ratios
Cholesterol_to_Total_Lipids_in_Large_LDL_percentage	Cholesterol to Total Lipids in Large LDL percentage	23615	lldlcpct	L-LDL-C %	Large LDL ratios
Cholesterol_to_Total_Lipids_in_Large_VLDL_percentage	Cholesterol to Total Lipids in Large VLDL percentage	23590	lvldlcpct	L-VLDL-C %	Large VLDL ratios
Cholesterol_to_Total_Lipids_in_Medium_HDL_percentage	Cholesterol to Total Lipids in Medium HDL percentage	23640	mhdlcpct	M-HDL-C %	Medium HDL ratios
